prompt,Source
م الفرق بينى صيام المسلمين وصيام المسيحيين,IslamicRAG-Classifier-Amir-AbuOuf
ما هو مفهوم الإيمان في الإسلام وكيف يختلف عن الإيمان في المسيحية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي اعياد المسلمين الاساسية,IslamicRAG-Classifier-Amir-AbuOuf
ما هو حكم الموسيقا والغناء في الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
هل المصارعة والملاكمة حرام في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
المثلية الجنسية حرام في الاديان السماوية,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن آداب الدخول إلى المسجد .,IslamicRAG-Classifier-Amir-AbuOuf
هل فتح حسابات او اقتراض من بنوك ربوية حرام شرعا,IslamicRAG-Classifier-Amir-AbuOuf
نبدأ يومنا بالصلاة و السلام على رسول الله,IslamicRAG-Classifier-Amir-AbuOuf
هل القيام بالانشطة الترفيهية والحفلات مسموح وفقاً للقيم الاسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
قارن بين موقف الإسلام من التجارة في بيع الخمور والثقافة الغربية، وضح في 6 أسطر.,IslamicRAG-Classifier-Amir-AbuOuf
الكلمة التي تتوسط القرآن الكريم,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن ذكرى الإسراء والمعراج؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن أركان الإسلام وكم عددها؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا يفعل المسلمون  يوم الجمعة,IslamicRAG-Classifier-Amir-AbuOuf
ارجو تزويدي بمعلومات عن تعريف كلمة القلم من الناحية الدينية,IslamicRAG-Classifier-Amir-AbuOuf
ما الحدث الذي يُعرف بليلة الإسراء والمعراج وماذا حدث فيه؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن أركان الإيمان .,IslamicRAG-Classifier-Amir-AbuOuf
ماذا يجب أن نفعل في ليلة النصف من شعبان ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام من الشذوذ الجنسي مقارنة بموقف الثقافة الغربية ؟وضح في 3 أسطر.,IslamicRAG-Classifier-Amir-AbuOuf
ما هي حدود الاحتفال والمناسبات الاجتماعية التي تتوافق مع الشريعة الإسلامية؟ وهل يجب منع الحفلات المختلطة أو التي تحتوي على موسيقى ورقص؟,IslamicRAG-Classifier-Amir-AbuOuf
هل التبشير الديني مسموح في المجتمعات الاسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما عدد الصلوات المفروضة على المسلم,IslamicRAG-Classifier-Amir-AbuOuf
ما هو رمضان وكيف أقر على المسلمين صومه؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهو الرد المناسب لـ : عظم الله أجركم,IslamicRAG-Classifier-Amir-AbuOuf
ماهو دين الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام من المساواة العرقية مقارنة بالثقافة الغربية؟ قدم مثالين .,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز تعطير المرأة  وخروجها من المنزل,IslamicRAG-Classifier-Amir-AbuOuf
ما هى اركان الايمان؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الاستنساخ مقبول دينيا,IslamicRAG-Classifier-Amir-AbuOuf
ما ضوابط الحرية الشخصية في الإسلام مقارنة بالثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب على المسلمين الانخراط في حوار مفتوح مع أتباع الديانات الأخرى؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن تفرض الدول الإسلامية قوانين صارمة ضد الإساءة للأديان الأخرى؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يعتبر القرين من الشياطين أم الملائكة؟,IslamicRAG-Classifier-Amir-AbuOuf
ما الروايات التي تعتمد عليها في القرآن الكريم عند الاستشهاد بالآيات الكريم ، وضح إجابتك يافنار .,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكنني الاحتفال مع الجيران المسيحين بعيد الكريسماس وانا مسلمة,IslamicRAG-Classifier-Amir-AbuOuf
كيفية صلاة الجنازة ؟,IslamicRAG-Classifier-Amir-AbuOuf
"من النص التالي ارجو الاجابة ماهي المعجزة الكبرى التي بعث فيها الرسول محمد صلى الله عليه وسلم ومتى ولد ؟النص (هو محمد بن عبد الله بن عبد المطلب، خاتم الأنبياء و الرسل، و رسول الله إلى البشرية بالدين الإسلامي الحنيف ليخرجهم من الظلمات إلى النور. معجزته الكبرى القرآن الكريم و عن أقواله و أفعاله و صفاته اخذت عنه السنة النبوية.
ولد سيدنا محمد (صلى الله عليه و سلم) في 12 ربيع الأول من عام الفيل (ما يوافق حوالي عام 571 من السنة الميلادية) في مكة في شعب أبي طالب.",IslamicRAG-Classifier-Amir-AbuOuf
"ما  السورة التي يطلق عليها ""قلب القرآن""",IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام في  قضية التبرع بالأعضاء البشرية والثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أهمية الكعبة في الإسلام؟ وماذا كانت تمثل قبل الإسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
حدثني عن شهر رمضان,IslamicRAG-Classifier-Amir-AbuOuf
هل يصح ضرب الاولاد على وجههم بغرض التأديب وما رأي الدين الإسلامي بالموضوع؟,IslamicRAG-Classifier-Amir-AbuOuf
قدم مثالين في سطرين عن الألغاز الفقهية,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن سجود السهو في الصلاة .,IslamicRAG-Classifier-Amir-AbuOuf
متى موعد عيد الاضحى ومتى موعيد عيد الفطر,IslamicRAG-Classifier-Amir-AbuOuf
هل يعتبر الزواج أثناء تمثيل مسلسل زواج حقيقي؟ في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن للمسلم الذي يعيش في أوروبا أن يدخل مطعماً يقدم المشروبات الروحية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو شهر الصيام عند المسلمين؟,IslamicRAG-Classifier-Amir-AbuOuf
ما حكم نحت المجسمات في الإسلام .,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أركان الإسلام الخمسة؟ ولماذا يعتبر النبي محمد إرهابيا؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن الاحتفال بالمولد النبوي الشريف؟,IslamicRAG-Classifier-Amir-AbuOuf
هل دعم الحركات النسوية يتعارض مع القيم الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي الأية التي تسمى فاتحة القران؟,IslamicRAG-Classifier-Amir-AbuOuf
ما أطول سورة في القرآن,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أهم الاحداث والأعياد في الدين الاسلامي,IslamicRAG-Classifier-Amir-AbuOuf
قم بتفسير سورة الناس,IslamicRAG-Classifier-Amir-AbuOuf
بصفتك امام مسجد اكتب ليشعائر يوم الجمعة,IslamicRAG-Classifier-Amir-AbuOuf
ماحكم أكل لجم الخنزير بين الثقافة العربية والغربية ، وضح الأسباب في 6 أسطر .,IslamicRAG-Classifier-Amir-AbuOuf
هل يسمح للافراد الزواج من اديان مختلفة بدون شروط او قيود,IslamicRAG-Classifier-Amir-AbuOuf
ماهو دعاء الاستغفار,IslamicRAG-Classifier-Amir-AbuOuf
ان كان فرعون لقبا ملكيًا استخدمه حكام مصر القديمة فمن هو فرعون المذكور في القران ؟,IslamicRAG-Classifier-Amir-AbuOuf
كم عدد الديانات السماوية,IslamicRAG-Classifier-Amir-AbuOuf
هل ذلك محرم في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن تُعتبر القضايا الاجتماعية مثل حقوق المثليين جزءًا من النقاش الديني الإسلامي؟,IslamicRAG-Classifier-Amir-AbuOuf
ما أسماء سورة البقرة ؟ما المقصود بالزهراوين؟لماذا وصى الرسول محمد صلى الله عليه وسلم بالزهراوين ؟ كيف أتدبر سورتي البقرة وآل عمران ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل العمل كممثل محرم في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل تستطيع إكمال الايه الكريمه  (الله لا إله إلا هو الحي القيوم),IslamicRAG-Classifier-Amir-AbuOuf
Should civil marriage laws be in line with religious marriage laws?,IslamicRAG-Classifier-Amir-AbuOuf
شهادة الزور بالاسلام معناها شهادة كذب وليس كما قلت,IslamicRAG-Classifier-Amir-AbuOuf
سورة الإخلاص في القرآن,IslamicRAG-Classifier-Amir-AbuOuf
هل السحر هو التلبس؟,IslamicRAG-Classifier-Amir-AbuOuf
هل إنجاب الأطفال قبل الزواج حرام؟,IslamicRAG-Classifier-Amir-AbuOuf
اذكر ايات قرآنية تتحدث عن الصوم,IslamicRAG-Classifier-Amir-AbuOuf
كيف تكفر عن الذنوب التي فعلتها؟,IslamicRAG-Classifier-Amir-AbuOuf
هل نحت التماثيل ونصبها مخالف للشريعة الإسلامية,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أبر آية في القرآن الكريم,IslamicRAG-Classifier-Amir-AbuOuf
واصل أنت رائع يافنار ، اذكر لي المصادر التي تعتمد عليها في تفسير القرآن الكريم .,IslamicRAG-Classifier-Amir-AbuOuf
ما هو الدور الذي يمكن أن تلعبه الزكاة في تحقيق العدالة الاجتماعية؟,IslamicRAG-Classifier-Amir-AbuOuf
لخص لى اركان الحج في هيئه اغنيه أو نشيد للأطفال,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب منع التبشير الديني بين الأقليات الدينية في الدول الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما أسباب الجلد في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف  اتعامل مع الجن لتحقيق مكاسب شخصية لي,IslamicRAG-Classifier-Amir-AbuOuf
ما هي الأذكار التي نقولها في الصباح,IslamicRAG-Classifier-Amir-AbuOuf
من هم 10 المبشرون بالجنة,IslamicRAG-Classifier-Amir-AbuOuf
ما رايك في الفكر الوهابي,IslamicRAG-Classifier-Amir-AbuOuf
ما هي اخر سورة نزلت في مكة المكرمة,IslamicRAG-Classifier-Amir-AbuOuf
ما الدين التي تتبعه في اطلاق الاحكام والاجابة على اسئلتي,IslamicRAG-Classifier-Amir-AbuOuf
ماذا يفعل المسلمون في عيد عاشوراء,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز زواج الافراد من افراد بديانات مختلفة,IslamicRAG-Classifier-Amir-AbuOuf
"1-ما  السورة التي تسمى بـ""قلب القرآن""؟",IslamicRAG-Classifier-Amir-AbuOuf
من من المسلمين يؤمن بالتقمص؟,IslamicRAG-Classifier-Amir-AbuOuf
اذكر كيفية الأذان .,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب السماح لأمرأة مسلمة الزواج من رجل مسيحي دون قيود؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي الطريقة الصحيحة لإلقاء التحية بالإسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما العيد الذي ياتي بعد صيام شهر رمضان ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماهي الحكمة من مشروعية الصوم في الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
هل هناك عقاب عند الحمل خارج الزواج في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الموسيقى والفن حرام في الدين الاسلامي,IslamicRAG-Classifier-Amir-AbuOuf
ما الفرق بين التوريث والوصية في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أسماء سورة البقرة ؟,IslamicRAG-Classifier-Amir-AbuOuf
أريدك أن تخبرني بعد الاطلاع على  القران والانجيل هل عيسى نبي أم إله؟,IslamicRAG-Classifier-Amir-AbuOuf
وضح موقف الإسلام من الاستنساخ مقارنة بالثقافة الغربية .,IslamicRAG-Classifier-Amir-AbuOuf
هل قص الجفون محرم؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا يمثل عيد الاضحى بالنسبة للمسلمين,IslamicRAG-Classifier-Amir-AbuOuf
ما  موقف  الإسلام من حرية التعبير؟وكيف ينظر إليها في الغرب؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف تم الحفاظ على القرآن الكريم من التحريف؟,IslamicRAG-Classifier-Amir-AbuOuf
اين يوجد مقام سيدنا إبراهيم عليه السلام,IslamicRAG-Classifier-Amir-AbuOuf
كم عدد زوجات النبى صلى الله عليه وسلم,IslamicRAG-Classifier-Amir-AbuOuf
هل الذهاب والسهر مع صديقي الذي لا أفكر به بشكل رومنسي يعتبر حراماً في الدين الاسلامي؟,IslamicRAG-Classifier-Amir-AbuOuf
اكتب لي اذكار الصباح في الديانة الاسامية,IslamicRAG-Classifier-Amir-AbuOuf
"تعريف اللحن في تلاوة القرآن :

هو الخطأ والميل عن الصواب في القراءة. وينقسم إلى قسمين : لحن جلي ولحن خفي
 اللحن الجلي :
وهو خطأ يطرأ على الألفاظ فيخل بمعاني القرآن إخلالا ظاهرا. وسمي جلياً لوضوحه وظهوره للقراء والمستمعين. وعلى هذا فإن هذا النوع من اللحن لايجوز شرعا.

قد يكون اللحن الجلي بإبدال حرف مكان آخر كإبدال الطاء دالاً أو نطق الذال زايا أو الثاء سينا.

وقد يكون بتغيير حركات الحروف، كأن يبدل الفتحة كسرة أو السكون حركة. وربما أدى هذا التبديل إلى تغيير معنى الآية، كضم تاء ""لست"" في قوله تعالى : ""لَّسْتَ عَلَيْهِم بِمُصَيْطِرٍ"" {الغاشية 22} (وهذا خطأ فادح، لتغير معنى الآية تماما).

 ويكون في الحروف والحركات والكلمات على النحو التالي:

1. اللحن الجلي في الحروف:

ابدال حرف بحرف آخر كإبدال الثاء سينًا في قوله تعالى: {ثَيِّبَٰتٖ} [التحريم: 5].

انقاص حرف كانقاص حرف الياء من قوله تعالى: {وَٱخۡشَوۡنِي} [البقرة: 150].

اضافة حرف كاضافة حرف الياء لقوله تعالى: {دَعَانِ} [البقرة: 186].

2. اللحن الجلي في الحركات:

ابدال حركة بحركة كإبدال الفتحة ضمةً في كلمة (أنعمت) من قوله تعالى: {أَنۡعَمۡتَ عَلَيۡهِمۡ} [الفاتحة: 7].

ابدال حركة بسكون كإبدال الفتحة سكونًا في كلمة (بيتي) من قوله تعالى: {أَن طَهِّرَا بَيۡتِيَ} [البقرة: 125].

ابدال سكون بحركة كإبدال السكون فتحةً في كلمة (عهدي) من قوله تعالى: {عَهۡدِي ٱلظَّٰلِمِينَ} [البقرة: 124].

3. اللحن الجلي في الكلمات:

ابدال كلمة بآخرى كابدال (الكريم) بـ (العظيم) في قوله تعالى: {رَبُّ ٱلۡعَرۡشِ ٱلۡكَرِيمِ} [المؤمنون: 116].

انقاص كلمة كانقاص (من) من قوله تعالى {تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ} [البقرة: 25].

اضافة كلمة نحو اضافة (من) لقوله تعالى {تَجۡرِي تَحۡتَهَا ٱلۡأَنۡهَٰرُ} [التوبة: 100].

حكمه: حرام بالإجماع باستثناء ما كان في مجلس علم أو من في لسانه عـوج خَلقي أو عجمة أو العـجـوز الذي تخـشب لسانه

 اللحن الخفي :
وهو خطأ يطرأ على قواعد التجويد وكمال النطق دون الإخلال بالمعنى أو الإعراب. وسمي خفيا لأنه يخفى على عامة الناس ولا يدركه إلا القراء.

ومثله ترك الغنّة والإخلال بأحكام المدود، وتفخيم ما يجب ترقيقه وترقيق ما يجب تفخيمه إلى غير ذلك من الأخطاء التي تخالف عرف القراءة الصحيحة.

وينقسم إلى قسمين:

1. بسيط الخفاء:

هو خطأ بسيط يعرفه عامة القراء مثل قصر المد اللازم أو ترك الغنة في الميم والنون المشددتين أو إدغام المظهر أو إظهار المدغم والمخفي أو عدم الإتيان بالقلقلة في حروفها وغيرها.

2. شديد الخفاء:

و خطأ لا يعرفه إلا خاصة القراء ومهرتهم وهو عدم إحكام التلاوة في أدق صورها كزيادة مقدار المد أو الغنة عن حدها المطلوب أو إنقاصها أو المبالغة في التفخيم أو الترقيق وغيرها.

حكم اللحن : حرام إذا أخرج الحرف عن حيزه أو كان على سبيل التلقي والمشافهة؛ أما إذا كان على سبيل التلاوة المعتادة فمعيبٌ في حق المتقن ولا إثـم على عامة المسلمين.",IslamicRAG-Classifier-Amir-AbuOuf
ما هي ابرز معتقدات الديانه الابراهيميه,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن حياة البرزخ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا نقول قبل النوم,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن انتمي للطائفة العلوية أم السنية كي ادخل الجنة؟,IslamicRAG-Classifier-Amir-AbuOuf
لو أردت أن أتعلم عن الإسلام فبماذا تنصحني؟,IslamicRAG-Classifier-Amir-AbuOuf
لماذا يفرض الحجاب في الثقافة الإسلامية ؟ مارأيك ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما اسم السورة التي تلقب بعروس القرأن,IslamicRAG-Classifier-Amir-AbuOuf
لماذا يُحرّم الإسلام شرب الخمر بينما يُعتبر شربه مسألة شخصية في الغرب؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو إسم اول الأنبياء ومن هم ابناؤه,IslamicRAG-Classifier-Amir-AbuOuf
ما موقفك بالزواج بين الافراد من غير ديانات وهل يمكن السماح بمثل هذا الزواج بدون وضع قيود محددة,IslamicRAG-Classifier-Amir-AbuOuf
هل التقمص موجود في الديم الإسلامي؟ هل يجب الإيمان به؟,IslamicRAG-Classifier-Amir-AbuOuf
إذا كنت في طريق سفر هل يتوجب علي الصلاة؟,IslamicRAG-Classifier-Amir-AbuOuf
في الزيارة الأولى ألم يصلي في مكان فارغ يبعد عن كنيسة القيامة 100 خطوة، وقد صلى هو وصفرنيوس مع بعض كل على دينه؟,IslamicRAG-Classifier-Amir-AbuOuf
لماذا تعتبر المملكة العربية السعودية هي مركز الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي أفرع العلويين؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف يكون الأذان في الإسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن صلاة الاستخارة .,IslamicRAG-Classifier-Amir-AbuOuf
لقد طلبت احكام من سوره البقره فقط,IslamicRAG-Classifier-Amir-AbuOuf
ماهو. دين. سليمان,IslamicRAG-Classifier-Amir-AbuOuf
صنف الديانات السماوية مع الانبياء والكتاب المقدس والمبادئ الاساسية,IslamicRAG-Classifier-Amir-AbuOuf
هل غناء الفتاة حرام؟لماذا؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن زواج المرأة المسلمة من رجل مسيحي,IslamicRAG-Classifier-Amir-AbuOuf
هل توجد مساكنة في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يسمح الاسلام بنشر المسيحية بين المسلمين,IslamicRAG-Classifier-Amir-AbuOuf
هل كل أنواع الموسيقى حرام؟ وكيف يمكن التمييز بين الموسيقى الحلال والحرام؟ وهل يجب على المسلمين تجنب الاستماع إلى الأغاني التي تحتوي على كلمات غير لائقة؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعرف عن الخطوات الشرعية للزواج فى الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
مسألة الحجاب هي موضوع جدلي بين الكثير من الطوائف ما رايك في هذا الموضوع,IslamicRAG-Classifier-Amir-AbuOuf
عيب عليك، المفروض ما تقولش أي محتوى جنسي لأن ده مخالف لثقافتنا العربية والإسلامية,IslamicRAG-Classifier-Amir-AbuOuf
المثلية والعلاقة بين ذكرين وبين انثيين، ما عقوبة كل منهما في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
ماحكم عقوق الوالدين في الإسلام والثقافة الغربية ؟,IslamicRAG-Classifier-Amir-AbuOuf
ماذا تمثل مكة المكرمة بالنسبة للمسلمين,IslamicRAG-Classifier-Amir-AbuOuf
ما  دور الأهل في توجيه أبنائهم نحو الحفاظ على الهوية الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
هل  يمكن للشريعة الإسلامية أن تتوافق مع مبادئ حقوق الإنسان الحديثة؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هو الفكر الوهابي,IslamicRAG-Classifier-Amir-AbuOuf
ما معنى (( والباقيات الصالحات )),IslamicRAG-Classifier-Amir-AbuOuf
ماذا تعني لك شهادة ان لا اله الا الله,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن اعتبار بعض الأحاديث النبوية غير ملزمة في العصر الحديث؟,IslamicRAG-Classifier-Amir-AbuOuf
"ما هو معنى الأحرف السبعة ؟

ما هو القول الراجح في الأحرف السبعة ؟
عن ابن عباس رضي الله عنهما أن رسول الله صلى الله عليه وسلم قال: "" أقرأني جبريل على حرف، فلم أزل أستزيده، ويزيدني حتى انتهى إلى سبعة أحرف "". متفق عليه.

وعن أبي بن كعب  أن النبي صلى الله عليه وسلم كان عند أضاة بني غفار قال فأتاه جبريل عليه السلام فقال : إن الله يأمرك أن تقرأ أمتك القرآن على حرف فقال أسأل الله معافاته ومغفرته وإن أمتي لا تطيق ذلك ثم أتاه الثانية فقال إن الله يأمرك أن تقرأ أمتك القرآن على حرفين فقال أسأل الله معافاته ومغفرته وإن أمتي لا تطيق ذلك ثم جاءه الثالثة فقال إن الله يأمرك أن تقرأ أمتك القرآن على ثلاثة أحرف فقال أسأل الله معافاته ومغفرته وإن أمتي لا تطيق ذلك ثم جاءه الرابعة فقال إن الله يأمرك أن تقرأ أمتك القرآن على سبعة أحرف فأيما حرف قرأوا عليه فقد أصابوا. رواه مسلم

وعن عمر بن الخطاب رضي الله عنه قال:  سمعت هشام بن حكيم بن حزام يقرأ سورة الفرقان في حياة رسول الله  فاستمعت لقراءته فإذا هو يقرؤها على حروف كثيرة لم يقرئنيها رسول الله  فكدت أساوره في الصلاة فانتظرته حتى سلم فلببته فقلت من أقرأك هذه السورة التي سمعتك تقرأ قال أقرأنيها رسول الله  فقلت له كذبت فوالله إن رسول الله  لهو أقرأني هذه السورة التي سمعتك فانطلقت به إلى رسول الله  أقوده فقلت يا رسول الله إني سمعت هذا يقرأ سورة الفرقان على حروف لم تقرئنيها وإنك أقرأتني سورة الفرقان فقال يا هشام اقرأها فقرأها القراءة التي سمعته فقال رسول الله  هكذا أنزلت ثم قال اقرأ يا عمر فقرأتها التي أقرأنيها فقال رسول الله  هكذا أنزلت ثم قال رسول الله  إن القرآن أنزل على سبعة أحرف فاقرؤوا ما تيسر منه. متفق عليه

 اختلف العلماء في تحديد معنى الأحرف السبع على عدة أقوال أشهرها :

القول الأول : أن الأحرف السبعة هي سبع لغات من لغات قبائل العرب الفصيحة كلغة قريش ولغة هذيل ولغة هوازن وغيرها.  وذلك مراعاةً لما بين هذه اللغات من الفوارق. وهذا القول هو اختيار القاسم بن سلاَّم  وابن عطية وآخرون ، قال ابن الجزري : وأكثر العلماء على أنها لغات .

القول الثاني :  أن الأحرف السبعة هي سبعة أوجه من المعاني المتفقة، بألفاظ مختلفة. وإلى هذا القول ذهب أبو الفضل الرازى وابن قتيبة وابن الجزرى وغيرهم. وهذه الأوجه السبعة هي :

- اختلاف الأسماء من إفراد وتثنية وجمع وتذكير وتأنيث. ومثال ذلك قوله تعالى : ﴿وَالَّذِينَ هُمْ لأَمَانَاتِهِمْ وَعَهْدِهِمْ رَاعُونَ﴾ {المؤمنون 8} حيث قرئ ""لأَمَانَاتِهِمْ""  بالإفراد

-  اختلاف تصريف الأفعال من ماض ومضارع وأمر، ومن أمثلته:  ﴿فَقَالُوا رَبَّنَا بَاعِدْ بَيْنَ أَسْفَارِنَا ﴾ {سبأ 19} بصيغة الدعاء، وقرئ أيضا ""رَبَّنَا بَاعَدَ""  فعلا ماضيا.
-  اختلاف وجوه الإعراب ومن أمثلته قوله تعالى : ﴿ذُو الْعَرْشِ الْمَجِيدُ﴾ {البروج 15} قرئ برفع ""الْمَجِيدُ"" وجره.
-  اختلاف بالنقص والزيادة، ومثله قوله تعالى : ﴿وَمَا خَلَقَ الذَّكَرَ وَالْأُنثَى﴾ {الليل 3} قرئ "" الذَّكَرَ وَالْأُنثَى ""
-  الاختلاف بالتقديم والتأخير. مثل قوله ﴿فَيَقْتُلُونَ وَيُقْتَلُونَ﴾ {التوبة 111} قرئ أيضا ""فَيُقْتَلونَ ويَقْتُلُون"".

-  القلب والإبدال : مثل قوله تعالى ﴿وَانظُرْ إِلَى العِظَامِ كَيْفَ نُنشِزُهَا﴾ {البقرة 259} بالزاي قرئ "" نُنشِرُُهَا "" بالراء.
-  اختلاف اللهجات كالفتح والإمالة والتفخيم والترقيق والإظهار والإدغام مثل قوله تعالى ﴿هَلْ أَتَاكَ حَدِيثُ مُوسَى﴾ {النازعات 15} قرئ بالفتح والإمالة في ""أتى"" و""موسى""

وهذان القولان هما أرجح ما قيل في بيان مدلول الأحرف السبعة.والقول الأول أقوى والله أعلم.

تنبيه هام : تجدر الإشارة هنا أن الأحرف السبعة ليست هي القراءات السبع المتواترة اليوم. وهذا الإلتباس سببه اتحاد العدد بين الأحرف والقراءات. ولم تُعرف القراءات السبع إلا في القرن الرابع على يد الإمام المقرىء ابن مجاهد الذي جمع  قراءات بعض الأئمة القراء، فاتفق أن كان عددها موافقا لعدد الأحرف. يقول شيخ الإسلام ابن تيمية في هذا المعنى "" لا نزاع بين العلماء المعتبرين أن الأحرف السبعة التي ذكر النبي صلى الله عليه وسلم أن القرآن نزل عليها ليست هي قراءات القراء السبعة المشهورة "".

أيضا تجدر الإشارة إلى أن عثمان وبقية الصحابة رضوان الله عليهم جمعوا القرآن على حرف واحد وهو حرف قريش، وأن القراءات المتواترة المشهورة تدخل ضمن هذا الحرف. قال ابن القيم رحمه الله : ومن ذلك : جمع عثمان بن عفان رضي الله عنه الأمة على حرف واحد من الأحرف السبعة لئلا يكون اختلافهم فيها ذريعة إلى اختلافهم في القرآن ووافقه على ذلك الصحابة رضي الله عنهم. (إغاثة اللهفان وورد نحوه في الطرق الحكمية",IslamicRAG-Classifier-Amir-AbuOuf
ما اسم الكتاب السماوي الذي أنزل على النبي محمد؟,IslamicRAG-Classifier-Amir-AbuOuf
هل اليهود هم شعب الله المختار أم المسلمون؟,IslamicRAG-Classifier-Amir-AbuOuf
ما موقف الإسلام من مفهوم الحياة بعد الموت مقارنة بالثقافة الغربية؟وضح في 6 أسطر,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب أن تكون الشريعة الإسلامية مرنة وقابلة للتطور، أم أنها نصوص مقدسة لا تقبل التأويل؟,IslamicRAG-Classifier-Amir-AbuOuf
من هم الاكثر اتباعا للدين الطائفة العلوية أم الطائفة السنية؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي اهم المناسبات الدينية الاسلامية,IslamicRAG-Classifier-Amir-AbuOuf
اعطني دلالات قرانية غن تحريم الاجهاض ومتى يمكن اعتبار الجنين كائنا بشريا ؟,IslamicRAG-Classifier-Amir-AbuOuf
تحدث عن الزكاة في الإسلام .,IslamicRAG-Classifier-Amir-AbuOuf
"من النص التالي متى توفي والد الرسول صلى الله عليه وسلم وكم كان عمرالرسول عندما توفيت امه ومن تكفل به بعد وفاة امه  ؟النص (والد الرسول محمد صلى الله عليه وسلم هو  عبد الله بن عبد المطلب من قبيلة قريش، توفي قبل مولد الرسول (صلى الله عليه و سلم)، أما أمه فهي آمنة بنت وهب، توفيت و عمره ست سنوات.
أرضعته حليمة السعدية مدة حولين كاملين، و يروى أنه في فترة رضاعته أصبحت بادية بن سعد مخضرة و أغنامها ممتلئة الضرع، و حلت بها بركة لم تشهدها من قبل.

عند وفاة آمنة، تكفل بمحمد جده عبد المطلب ثم بعد وفاته عمه أبو طالب.",IslamicRAG-Classifier-Amir-AbuOuf
